Sex,SmokingStatus,IssueAge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
F,NS,19,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.28,0.30,0.31,0.33,0.35,0.40,0.48,0.56,0.65,0.73,0.80,0.84,0.86,0.86,0.86,0.87,0.87,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,20,0.21,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.25,0.28,0.30,0.31,0.32,0.36,0.42,0.50,0.59,0.67,0.75,0.82,0.86,0.86,0.86,0.87,0.87,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,21,0.17,0.20,0.22,0.21,0.20,0.20,0.21,0.23,0.26,0.28,0.30,0.31,0.33,0.37,0.45,0.53,0.61,0.68,0.76,0.82,0.86,0.86,0.87,0.87,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,22,0.15,0.19,0.20,0.19,0.18,0.19,0.21,0.24,0.27,0.29,0.30,0.31,0.34,0.40,0.48,0.56,0.62,0.69,0.76,0.83,0.86,0.87,0.87,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,23,0.14,0.17,0.17,0.17,0.17,0.19,0.21,0.24,0.27,0.29,0.31,0.33,0.37,0.44,0.51,0.58,0.63,0.69,0.77,0.83,0.87,0.87,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,24,0.12,0.15,0.15,0.15,0.17,0.19,0.22,0.25,0.28,0.30,0.32,0.35,0.41,0.48,0.55,0.60,0.64,0.70,0.77,0.83,0.87,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,25,0.10,0.13,0.14,0.15,0.17,0.19,0.22,0.26,0.29,0.32,0.35,0.39,0.45,0.52,0.58,0.61,0.66,0.72,0.78,0.84,0.89,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,26,0.08,0.12,0.14,0.15,0.17,0.20,0.23,0.27,0.30,0.34,0.38,0.44,0.51,0.57,0.61,0.63,0.68,0.74,0.81,0.87,0.93,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,27,0.08,0.12,0.14,0.15,0.17,0.20,0.24,0.28,0.33,0.37,0.42,0.48,0.55,0.60,0.63,0.66,0.70,0.77,0.84,0.91,0.97,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,28,0.07,0.12,0.14,0.16,0.18,0.21,0.25,0.30,0.36,0.41,0.46,0.53,0.59,0.63,0.65,0.69,0.74,0.81,0.88,0.96,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,29,0.07,0.12,0.15,0.16,0.18,0.22,0.27,0.33,0.39,0.44,0.49,0.56,0.61,0.65,0.68,0.72,0.79,0.86,0.94,1.03,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,30,0.07,0.13,0.15,0.17,0.20,0.24,0.30,0.36,0.41,0.47,0.52,0.58,0.64,0.67,0.71,0.77,0.85,0.94,1.02,1.11,1.21,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,31,0.07,0.13,0.16,0.18,0.22,0.27,0.33,0.39,0.44,0.49,0.54,0.60,0.66,0.71,0.76,0.83,0.92,1.01,1.10,1.20,1.33,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,32,0.08,0.14,0.17,0.21,0.25,0.31,0.36,0.42,0.46,0.51,0.56,0.62,0.70,0.76,0.83,0.91,1.00,1.09,1.19,1.32,1.49,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,33,0.08,0.15,0.19,0.24,0.29,0.34,0.39,0.44,0.47,0.52,0.58,0.65,0.74,0.82,0.90,0.99,1.09,1.19,1.31,1.48,1.67,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,34,0.09,0.15,0.22,0.27,0.32,0.37,0.43,0.47,0.49,0.54,0.60,0.70,0.81,0.90,0.99,1.08,1.19,1.30,1.46,1.65,1.87,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,35,0.09,0.16,0.24,0.30,0.35,0.40,0.46,0.49,0.51,0.56,0.65,0.77,0.89,0.98,1.07,1.17,1.29,1.43,1.62,1.84,2.07,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,36,0.10,0.17,0.27,0.34,0.39,0.45,0.49,0.51,0.54,0.61,0.72,0.84,0.98,1.07,1.17,1.27,1.40,1.57,1.78,2.03,2.26,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,37,0.11,0.18,0.29,0.38,0.43,0.48,0.51,0.54,0.58,0.67,0.80,0.93,1.06,1.16,1.26,1.37,1.52,1.71,1.95,2.21,2.45,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,38,0.12,0.19,0.30,0.40,0.47,0.51,0.54,0.58,0.64,0.75,0.88,1.02,1.15,1.25,1.35,1.48,1.66,1.87,2.12,2.39,2.65,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,39,0.13,0.20,0.31,0.41,0.49,0.53,0.57,0.63,0.71,0.83,0.98,1.11,1.24,1.35,1.46,1.61,1.80,2.03,2.29,2.59,2.87,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,40,0.14,0.21,0.32,0.42,0.52,0.57,0.63,0.69,0.78,0.93,1.07,1.20,1.33,1.45,1.58,1.76,1.96,2.20,2.48,2.80,3.12,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,41,0.14,0.23,0.33,0.44,0.56,0.62,0.68,0.75,0.86,1.02,1.16,1.29,1.43,1.57,1.73,1.92,2.14,2.40,2.69,3.05,3.41,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,42,0.15,0.24,0.34,0.48,0.60,0.67,0.73,0.81,0.95,1.11,1.25,1.38,1.54,1.72,1.90,2.11,2.35,2.63,2.95,3.34,3.75,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,43,0.17,0.25,0.36,0.54,0.65,0.72,0.78,0.88,1.03,1.19,1.34,1.49,1.69,1.89,2.10,2.32,2.58,2.88,3.23,3.67,4.12,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,44,0.19,0.26,0.40,0.61,0.70,0.77,0.84,0.96,1.12,1.28,1.43,1.62,1.85,2.08,2.30,2.55,2.83,3.15,3.55,4.04,4.54,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,45,0.21,0.26,0.44,0.66,0.75,0.83,0.91,1.05,1.21,1.37,1.55,1.77,2.04,2.30,2.53,2.80,3.12,3.49,3.93,4.44,4.99,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,46,0.23,0.27,0.50,0.71,0.81,0.90,0.99,1.14,1.30,1.48,1.68,1.95,2.26,2.53,2.79,3.10,3.45,3.85,4.32,4.87,5.47,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,47,0.24,0.29,0.59,0.77,0.88,0.98,1.09,1.24,1.40,1.60,1.84,2.15,2.50,2.79,3.08,3.43,3.82,4.26,4.76,5.34,6.00,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,48,0.25,0.33,0.69,0.85,0.97,1.07,1.20,1.36,1.52,1.73,2.01,2.37,2.76,3.07,3.38,3.77,4.22,4.69,5.23,5.85,6.58,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,49,0.26,0.41,0.81,0.95,1.07,1.18,1.33,1.48,1.65,1.89,2.21,2.59,2.99,3.33,3.68,4.12,4.61,5.12,5.71,6.41,7.25,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
F,NS,50,0.27,0.53,0.93,1.06,1.18,1.31,1.46,1.61,1.81,2.08,2.43,2.81,3.21,3.57,3.98,4.49,5.03,5.58,6.22,7.04,8.04,8.97,10.07,11.35,12.83,14.53,16.49,18.77,21.47,24.71,28.54,32.63,36.89,41.77,48.51,56.25,63.95,72.79,82.88,94.02,106.07,119.05,133.11,147.81,163.12,180.74,201.27,223.74,248.02,273.79,299.21,323.14,346.98,370.36,392.92,414.30,434.13,452.05,467.69,480.68,490.65,497.23,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
